Rank,Names,Age,WorthPerBillion,Worth,Work Industry,Company Name,Country,State,City,Organization,Self Made,Gender,Date of Birth,Title,Age Group
246,"Ernest Garcia, II.",64,8.6,8600000000.00,Automotive,Cars,United States,Arizona,Tempe,Not provided,TRUE,Male,21/05/1957,Chief Executive Officer,Old
601,Mark Shoen,71,4.7,4700000000.00,Automotive,U-Haul,United States,Arizona,Phoenix,Not provided,FALSE,Male,20/11/1950,Chief Executive Officer,Old
709,E. Joe Shoen,72,4.1,4100000000.00,Automotive,U-Haul,United States,Arizona,Phoenix,Not provided,FALSE,Male,28/10/1949,Chief Executive Officer,Old
822,Arturo Moreno,75,3.6,3600000000.00,Sports,Billboards,United States,Arizona,Phoenix,Not provided,TRUE,Male,14/08/1946,Chief Executive Officer,Old
883,Bob Parsons,71,3.4,3400000000.00,Technology,WebHosting,United States,Arizona,Scottsdale,Not provided,TRUE,Male,27/11/1950,Chief Executive Officer,Old
951,"Ernest Garcia, III.",39,3.2,3200000000.00,Automotive,Cars,United States,Arizona,Phoenix,Not provided,FALSE,Male,01/05/1982,Chief Executive Officer,Young Adult
1053,Stewart Horejsi & family,84,2.9,2900000000.00,Finance & Investments,BerkshireHathaway,United States,Arizona,Phoenix,Not provided,TRUE,Male,19/09/1937,Chief Executive Officer,Old
1096,Bennett Dorrance,76,2.8,2800000000.00,Food & Beverage,CampbellSoup,United States,Arizona,Paradise Valley,Not provided,FALSE,Male,09/02/1946,Chief Executive Officer,Old
1096,George Kurtz,51,2.8,2800000000.00,Technology,SecuritySoftware,United States,Arizona,Paradise Valley,Not provided,TRUE,Male,01/10/1970,Chief Executive Officer,Middle Aged Adult
1818,Peter Sperling,62,1.6,1600000000.00,Service,Education,United States,Arizona,Phoenix,Not provided,FALSE,Male,22/11/1959,Chief Executive Officer,Old
2076,Jerry Moyes & family,78,1.4,1400000000.00,Logistics,Transportation,United States,Arizona,Tolleson,Not provided,TRUE,Male,15/01/1944,Chief Executive Officer,Old
2578,Ken Kendrick,78,1,1000000000.00,Sports,Banking SportsTeam,United States,Arizona,Paradise Valley,Not provided,TRUE,Male,02/09/1943,Chief Executive Officer,Old
16,Jim Walton,73,66.2,66200000000.00,Fashion & Retail,Walmart,United States,Arkansas,Bentonville,"Arvest Bank Group, Inc.",FALSE,Male,07/06/1948,Chief Executive Officer and Chairman,Old
19,Rob Walton,77,65,65000000000.00,Fashion & Retail,Walmart,United States,Arkansas,Bentonville,Walmart,FALSE,Male,27/10/1944,Director,Old
601,Johnelle Hunt,90,4.7,4700000000.00,Logistics,Trucking,United States,Arkansas,Fayetteville,Not provided,TRUE,Female,04/01/1932,Chief Executive Officer,Old
1012,John Tyson,68,3,3000000000.00,Food & Beverage,FoodProcessing,United States,Arkansas,Springdale,Not provided,FALSE,Male,05/09/1953,Chief Executive Officer,Old
1053,Warren Stephens,65,2.9,2900000000.00,Finance & Investments,Investments Banking,United States,Arkansas,Little Rock,Not provided,FALSE,Male,18/02/1957,Chief Executive Officer,Old
6,Larry Page,49,111,111000000000.00,Technology,Google,United States,California,Palo Alto,Alphabet,TRUE,Male,26/03/1973,Entrepreneur,Middle Aged Adult
7,Sergey Brin,48,107,107000000000.00,Technology,Google,United States,California,Los Altos,Alphabet,TRUE,Male,21/08/1973,Board Member,Middle Aged Adult
15,Mark Zuckerberg,37,67.3,67300000000.00,Technology,Facebook,United States,California,Palo Alto,Meta Platforms,TRUE,Male,14/05/1984,Cofounder,Young Adult
70,Eric Schmidt,66,22.1,22100000000.00,Technology,Google,United States,California,Atherton,Not provided,TRUE,Male,27/04/1955,Chief Executive Officer,Old
78,Jensen Huang,59,20.6,20600000000.00,Technology,Semiconductors,United States,California,Los Altos,NVIDIA,TRUE,Male,17/02/1963,Chief Executive Officer,Middle Aged Adult
110,Laurene Powell Jobs & family,58,16.4,16400000000.00,Technology,Apple Disney,United States,California,Palo Alto,Emerson Collective,FALSE,Female,06/11/1963,Investor,Middle Aged Adult
112,Donald Bren,89,16.2,16200000000.00,Real Estate,RealEstate,United States,California,Newport Beach,Irvine Company,TRUE,Male,11/05/1932,Chairman,Old
127,Robert Pera,44,14.6,14600000000.00,Technology,WirelessNetworkingGear,United States,California,San Jose,Ubiquiti,TRUE,Male,10/03/1978,Chief Executive Officer,Middle Aged Adult
146,John Doerr,70,12.7,12700000000.00,Technology,VentureCapital,United States,California,Woodside,Kleiner Perkins,TRUE,Male,29/06/1951,Investor,Old
152,Charles Schwab,84,12.2,12200000000.00,Finance & Investments,Brokerage,United States,California,Woodside,Charles Schwab,TRUE,Male,29/07/1937,Investor,Old
167,Brian Chesky,40,11.5,11500000000.00,Technology,Airbnb,United States,California,San Francisco,AirBnB,TRUE,Male,29/08/1981,Chief Executive Officer and Cofounder,Young Adult
