Rank,Names,Age,Worth_per_billion,Worth,Work_Industry,Company_Name,City,Country,Organization,Self_Made,Gender,Date of Birth,Title,Age_Group
1,Elon Musk,50,219,219000000000,Automotive,Tesla,Austin,United States,Tesla,TRUE,Male,28/06/1971,CEO,Middle Aged Adult
2,Jeff Bezos,58,171,171000000000,Technology,Amazon,Seattle,United States,Amazon,TRUE,Male,12/01/1964,Entrepreneur,Middle Aged Adult
3,Bernard Arnault & family,73,158,158000000000,Fashion & Retail,LVMH,Paris,France,LVMH Moët Hennessy Louis Vuitton,FALSE,Male,05/03/1949,CEO,Old
4,Bill Gates,66,129,129000000000,Technology,Microsoft,Medina,United States,Bill & Melinda Gates Foundation,TRUE,Male,28/10/1955,Cofounder,Old
5,Warren Buffett,91,118,118000000000,Finance & Investments,Berkshire Hathaway,Omaha,United States,Berkshire Hathaway,TRUE,Male,30/08/1930,CEO,Old
6,Larry Page,49,111,111000000000,Technology,Google,Palo Alto,United States,Alphabet,TRUE,Male,26/03/1973,Entrepreneur,Middle Aged Adult
7,Sergey Brin,48,107,107000000000,Technology,Google,Los Altos,United States,Alphabet,TRUE,Male,21/08/1973,Cofounder,Middle Aged Adult
8,Larry Ellison,77,106,106000000000,Technology,Software,Lanai,United States,Oracle,TRUE,Male,17/08/1944,Founder,Old
9,Steve Ballmer,66,91,91400000000,Technology,Microsoft,Hunts Point,United States,Los Angeles Clippers,TRUE,Male,24/03/1956,Owner,Old
10,Mukesh Ambani,64,91,90700000000,Diversified,Diversified,Mumbai,India,Reliance Industries,FALSE,Male,19/04/1957,Founder,Old
12,Michael Bloomberg,80,82,82000000000,Media & Entertainment,Bloomberg LP,New York,United States,Bloomberg L.P.,TRUE,Male,14/02/1942,CEO,Old
13,Carlos Slim Helu & family,82,81,81200000000,Telecom,Telecom,Mexico City,Mexico,América Móvil,TRUE,Male,28/01/1940,Chairman,Old
15,Mark Zuckerberg,37,67,67300000000,Technology,Facebook,Palo Alto,United States,Meta Platforms,TRUE,Male,14/05/1984,Cofounder,Young Adult
16,Jim Walton,73,66,66200000000,Fashion & Retail,Walmart,Bentonville,United States,"Arvest Bank Group, Inc.",FALSE,Male,07/06/1948,Chairman and CEO,Old
18,Alice Walton,72,65,65300000000,Fashion & Retail,Walmart,Fort Worth,United States,Crystal Bridges Museum of American Art,FALSE,Female,07/10/1949,Philanthropist,Old
19,Rob Walton,77,65,65000000000,Fashion & Retail,Walmart,Bentonville,United States,Walmart,FALSE,Male,27/10/1944,Director,Old
21,Charles Koch,86,60,60000000000,Diversified,Koch Industries,Wichita,United States,Koch Industries,FALSE,Male,01/11/1935,CEO,Old
24,Michael Dell,57,55,55100000000,Technology,Dell Computers,Austin,United States,Dell Inc.,TRUE,Male,23/02/1965,Chairman and CEO,Middle Aged Adult
25,Zhang Yiming,38,50,50000000000,Media & Entertainment,TikTok,Beijing,China,ByteDance,TRUE,Male,01/01/1984,Founder,Young Adult
26,David Thomson & family,64,49,49200000000,Media & Entertainment,Media,Toronto,Canada,Thomson Reuters Corporation,FALSE,Male,12/06/1957,Chairman,Old
27,Phil Knight & family,84,47,47300000000,Fashion & Retail,Nike,Hillsboro,United States,Nike,TRUE,Male,24/02/1938,Chairman,Old
31,Rodolphe Saadé & family,52,41,41400000000,Logistics,Shipping,Marseille,France,CMA CGM,FALSE,Male,03/03/1970,Chairman and CEO,Middle Aged Adult
34,Ma Huateng,50,37,37200000000,Technology,Internet Media,Shenzhen,China,Tencent Holdings,TRUE,Male,29/10/1971,Chairman and CEO,Middle Aged Adult
37,Stephen Schwarzman,75,35,34800000000,Finance & Investments,Investments,New York,United States,Blackstone Group,TRUE,Male,14/02/1947,Chairman and CEO,Old
46,Gina Rinehart,68,30,30200000000,Metals & Mining,Mining,Perth,Australia,Hancock Prospecting,FALSE,Female,09/02/1954,Chairman,Old
48,Jim Simons,83,29,28600000000,Finance & Investments,Hedge Funds,East Setauket,United States,Renaissance Technologies Corp.,TRUE,Male,25/04/1938,Founder,Old
53,Ken Griffin,53,27,27200000000,Finance & Investments,Hedge Funds,Chicago,United States,Citadel LLC,TRUE,Male,15/10/1968,Founder ,Middle Aged Adult
60,Sam Bankman-Fried,30,24,24000000000,Finance & Investments,Cryptocurrency Exchange,Nassau,United States,FTX,TRUE,Male,05/03/1992,Founder,Young Adult
65,Leonard Lauder,89,23,23100000000,Fashion & Retail,Estee Lauder,New York,United States,The Estée Lauder Companies,FALSE,Male,19/03/1933,Chairman,Old
67,Jack Ma,57,23,22800000000,Technology,E-commerce,Hangzhou,China,Alibaba Group,TRUE,Male,10/09/1964,Founder,Middle Aged Adult
71,Ray Dalio,72,22,22000000000,Finance & Investments,Hedge Funds,Greenwich,United States,Bridgewater Associates,TRUE,Male,08/08/1949,Founder ,Old
74,Masayoshi Son,64,21,21300000000,Telecom,Telecom,Tokyo,Japan,Softbank,TRUE,Male,11/08/1957,CEO,Old
75,Abigail Johnson,60,21,21200000000,Finance & Investments,Money Management,Milton,United States,Fidelity Investments,FALSE,Female,19/12/1961,Chairman and CEO,Middle Aged Adult
76,Rupert Murdoch & family,91,21,20800000000,Media & Entertainment,Newspapers,New York,United States,News Corp,FALSE,Male,11/03/1931,Chairman and CEO,Old
78,Jensen Huang,59,21,20600000000,Technology,Semiconductors,Los Altos,United States,NVIDIA,TRUE,Male,17/02/1963,CEO ,Middle Aged Adult
89,Lakshmi Mittal,71,18,17900000000,Metals & Mining,Steel,London,India,ArcelorMittal (ADR),FALSE,Male,15/06/1950,Chairman and CEO,Old
94,Stefan Persson,74,18,17600000000,Fashion & Retail,H&M,Stockholm,Sweden,H&M - Hennes & Mauritz,FALSE,Male,04/10/1947,Chairman,Old
96,Steve Cohen,65,17,17400000000,Finance & Investments,Hedge Funds,Greenwich,United States,Point72 Asset Management,TRUE,Male,11/06/1956,Founder,Old
98,Harold Hamm & family,76,17,17200000000,Energy,Oil & Gas,Oklahoma City,United States,Continental Resources,TRUE,Male,11/12/1945,Chairman and CEO,Old
103,David Tepper,64,17,16700000000,Finance & Investments,Hedge Funds,Palm Beach,United States,Appaloosa Management,TRUE,Male,11/09/1957,President,Old
104,"John Menard, Jr.",82,17,16600000000,Fashion & Retail,Home Improvement Stores,Eau Claire,United States,Menards,TRUE,Male,22/01/1940,Entrepreneur,Old
106,Carl Icahn,86,17,16500000000,Finance & Investments,Investments,Indian Creek,United States,Icahn Capital Management,TRUE,Male,16/02/1936,Founder,Old
110,Laurene Powell Jobs & family,58,16,16400000000,Technology,Apple,Palo Alto,United States,Emerson Collective,FALSE,Female,06/11/1963,Investor,Middle Aged Adult
112,Donald Bren,89,16,16200000000,Real Estate,Real Estate,Newport Beach,United States,Irvine Company,TRUE,Male,11/05/1932,Chairman,Old
119,Wu Yajun,58,15,15300000000,Real Estate,Real Estate,Beijing,China,Longfor Group Holdings,TRUE,Female,01/01/1964,Cofounder,Middle Aged Adult
121,Michael Platt,54,15,15200000000,Finance & Investments,Hedge Funds,Geneva,United Kingdom,BlueCrest Capital Management,TRUE,Male,18/03/1968,Founder ,Middle Aged Adult
127,Robert Pera,44,15,14600000000,Technology,Wireless Networking Gear,San Jose,United States,Ubiquiti,TRUE,Male,10/03/1978,CEO,Middle Aged Adult
130,Aliko Dangote,64,14,14000000000,Manufacturing,Cement,Lagos,Nigeria,Dangote Group,TRUE,Male,10/04/1957,CEO,Old
138,Liu Yongxing,73,13,13200000000,Service,Diversified,Shanghai,China,East Hope Group,TRUE,Male,01/06/1948,Chairman,Old
138,Wang Jianlin,67,13,13200000000,Real Estate,Real Estate,Beijing,China,Dalian Wanda Group,TRUE,Male,01/10/1954,Chairman,Old
142,David Duffield,81,13,12900000000,Technology,Business Software,Incline Village,United States,Workday,TRUE,Male,21/09/1940,Entrepreneur,Old
146,John Doerr,70,13,12700000000,Technology,Venture Capital,Woodside,United States,Kleiner Perkins,TRUE,Male,29/06/1951,Investor,Old
152,Jim Pattison,93,12,12200000000,Diversified,Diversified,Vancouver,Canada,Jim Pattison Group,TRUE,Male,01/10/1928,Founder,Old
152,Charles Schwab,84,12,12200000000,Finance & Investments,Discount Brokerage,Woodside,United States,Charles Schwab,TRUE,Male,29/07/1937,Investor,Old
