Rank 1 - Work Industry ,Rank 2 - Title,Title Count
Automotive,CEO,1
Construction & Engineering,Entrepreneur,1
Diversified,CEO,1
Energy,Owner,1
Energy,CEO & Chairman,2
Energy,Chairman,2
Fashion & Retail,CEO,1
Fashion & Retail,CEO & Chairman,2
Fashion & Retail,Chairman,3
Fashion & Retail,Co-Chairman,1
Fashion & Retail,Cofounder,1
Fashion & Retail,Director,1
Fashion & Retail,Entrepreneur,2
Fashion & Retail,Philanthropist,1
Finance & Investments,CEO,1
Finance & Investments,CEO & Chairman,3
Finance & Investments,CEO & Founder,1
Finance & Investments,Chairman,1
Finance & Investments,Co-Chairman,1
Finance & Investments,Entrepreneur,2
Finance & Investments,Founder,11
Finance & Investments,Investor,4
Finance & Investments,Partner,1
Finance & Investments,President,1
Food & Beverage,Co-Chairman,2
Food & Beverage,CEO & Chairman,1
Manufacturing,Investor,1
Manufacturing,Chairman,2
Media & Entertainment,CEO,1
Media & Entertainment,CEO & Chairman,1
Media & Entertainment,Chairman,2
Media & Entertainment,Entrepreneur,1
Media & Entertainment,Founder,1
Real Estate,CEO & Chairman,1
Real Estate,Chairman,1
Real Estate,Founder,1
Real Estate,President,1
Service,CEO & Chairman,1
Sports,Chairman,1
Sports,Owner,1
Sports,CEO & Chairman,1
Sports,President,1
Technology,Board Member,1
Technology,CEO,3
Technology,CEO & Chairman,2
Technology,CEO & Cofounder,1
Technology,CEO & Founder,2
Technology,Co-Chairman,1
Technology,Cofounder,9
Technology,COO,1
Technology,Entrepreneur,6
Technology,Founder,1
Technology,Investor,4
Technology,Owner,1
Technology,President,1
